"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Acclima"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Acclima_VWC_5_Avg","Acclima_Perm_5_Avg","Acclima_EC_5_Avg","Acclima_Temp_5_Avg","Acclima_VWC_20_Avg","Acclima_Perm_20_Avg","Acclima_EC_20_Avg","Acclima_Temp_20_Avg","Acclima_VWC_40_Avg","Acclima_Perm_40_Avg","Acclima_EC_40_Avg","Acclima_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-17 02:00:00",87,"Site 2",39.10245,-96.59987,335,26.1,14.1,157,12.8,28.3,15.47,240.7,15.93,31.97,18,428.3,16.3
"2022-10-17 03:00:00",88,"Site 2",39.10245,-96.59987,335,26.07,14.07,154.3,12.2,28.3,15.47,239.7,15.77,31.87,17.93,428.3,16.3
"2022-10-17 04:00:00",89,"Site 2",39.10245,-96.59987,335,26,14,152,11.6,28.23,15.47,238.7,15.57,31.9,17.97,428.3,16.33
"2022-10-17 05:00:00",90,"Site 2",39.10245,-96.59987,335,26.03,14.03,149.3,10.97,28.47,15.57,237,15.33,31.93,18.03,428.7,16.3
"2022-10-17 06:00:00",91,"Site 2",39.10245,-96.59987,335,26,14,147,10.47,28.3,15.5,235.7,15.13,31.9,18,428.3,16.3
"2022-10-17 07:00:00",92,"Site 2",39.10245,-96.59987,335,26,14,145.3,9.93,28.27,15.47,234.3,14.9,31.93,18,428,16.33
"2022-10-17 08:00:00",93,"Site 2",39.10245,-96.59987,335,26,14,143.3,9.5,28.3,15.43,233,14.67,31.9,18,428,16.27
"2022-10-17 09:00:00",94,"Site 2",39.10245,-96.59987,335,26.03,14.03,141.3,9.03,28.3,15.47,231,14.4,31.97,18,427.3,16.17
"2022-10-17 10:00:00",95,"Site 2",39.10245,-96.59987,335,26.2,14.13,139.7,8.93,28.33,15.5,229.3,14.2,31.83,17.9,425.7,16.17
"2022-10-17 11:00:00",96,"Site 2",39.10245,-96.59987,335,26.27,14.17,142,9.63,28.37,15.5,228,14,31.8,17.93,425,16.07
"2022-10-17 12:00:00",97,"Site 2",39.10245,-96.59987,335,26.3,14.2,146,11,28.3,15.43,226.3,13.77,31.93,18.03,424.3,16
"2022-10-17 13:00:00",98,"Site 2",39.10245,-96.59987,335,26.3,14.2,152,12.77,28.2,15.4,226,13.63,31.83,17.93,423.7,15.9
"2022-10-17 14:00:00",99,"Site 2",39.10245,-96.59987,335,26.3,14.2,158,14.6,28.23,15.4,225,13.6,31.83,17.93,423,15.87
"2022-10-17 15:00:00",100,"Site 2",39.10245,-96.59987,335,26.27,14.17,164,16.3,28.13,15.37,225.7,13.7,31.9,17.97,422.3,15.8
"2022-10-17 16:00:00",101,"Site 2",39.10245,-96.59987,335,26.23,14.17,168.3,17.57,28.17,15.4,226.7,13.9,31.87,18,421.3,15.7
"2022-10-17 17:00:00",102,"Site 2",39.10245,-96.59987,335,26.13,14.1,170.7,18.23,28.27,15.4,228,14.17,31.83,17.93,420.7,15.6
"2022-10-17 18:00:00",103,"Site 2",39.10245,-96.59987,335,26.1,14.1,170.7,18,28.13,15.37,229.7,14.4,31.9,17.97,420.7,15.63
"2022-10-17 19:00:00",104,"Site 2",39.10245,-96.59987,335,26.1,14.07,168.3,17.1,28.17,15.37,231.3,14.73,31.9,18,421,15.6
"2022-10-17 20:00:00",105,"Site 2",39.10245,-96.59987,335,26.03,14.03,165,15.9,28.13,15.37,232.7,14.93,31.77,17.87,420,15.6
"2022-10-17 21:00:00",106,"Site 2",39.10245,-96.59987,335,26,14,161,14.67,28.1,15.33,233.7,15.07,31.8,17.93,420,15.57
"2022-10-17 22:00:00",107,"Site 2",39.10245,-96.59987,335,26,14,157,13.57,28.17,15.37,234,15.1,31.9,17.93,421,15.6
"2022-10-17 23:00:00",108,"Site 2",39.10245,-96.59987,335,26,14,153.3,12.6,28.17,15.37,233.7,15.07,31.9,18,421,15.63
"2022-10-18 00:00:00",109,"Site 2",39.10245,-96.59987,335,26,14,150,11.73,28.2,15.37,232.7,14.9,31.93,18,421,15.6
"2022-10-18 01:00:00",110,"Site 2",39.10245,-96.59987,335,25.9,13.97,147.3,11,28.13,15.33,231.7,14.77,31.9,17.97,421,15.63
"2022-10-18 02:00:00",111,"Site 2",39.10245,-96.59987,335,25.93,14,145,10.4,28.13,15.33,230.3,14.57,31.83,17.93,421,15.67
"2022-10-18 03:00:00",112,"Site 2",39.10245,-96.59987,335,25.9,14,143,9.8,28.1,15.3,229.3,14.37,31.9,17.9,421,15.63
"2022-10-18 04:00:00",113,"Site 2",39.10245,-96.59987,335,25.9,14,140.7,9.33,28.13,15.33,227.7,14.1,31.77,17.83,420.7,15.6
"2022-10-18 05:00:00",114,"Site 2",39.10245,-96.59987,335,25.83,13.93,139,8.73,28.1,15.3,226.3,13.9,31.97,18.03,420,15.57
"2022-10-18 06:00:00",115,"Site 2",39.10245,-96.59987,335,25.8,13.9,137,8.23,28.07,15.3,225,13.67,31.87,17.9,420,15.5
"2022-10-18 07:00:00",116,"Site 2",39.10245,-96.59987,335,25.8,13.9,135,7.767,28.07,15.3,223.3,13.4,31.93,18,419.3,15.5
"2022-10-18 08:00:00",117,"Site 2",39.10245,-96.59987,335,25.8,13.9,132.7,7.2,28,15.3,221.7,13.2,31.87,17.97,418.3,15.4
"2022-10-18 09:00:00",118,"Site 2",39.10245,-96.59987,335,25.87,13.93,130.3,6.8,28.03,15.3,220.3,12.93,31.9,17.93,417.7,15.37
"2022-10-18 10:00:00",119,"Site 2",39.10245,-96.59987,335,26.1,14.1,129,6.6,28.13,15.33,218.3,12.73,31.83,17.9,415.7,15.27
"2022-10-18 11:00:00",120,"Site 2",39.10245,-96.59987,335,26.1,14.1,131,7.233,28.1,15.37,216.3,12.5,31.87,17.97,415,15.2
"2022-10-18 12:00:00",121,"Site 2",39.10245,-96.59987,335,26.1,14.1,135,8.67,28.1,15.3,215.3,12.27,31.83,17.9,414.3,15.1
"2022-10-18 13:00:00",122,"Site 2",39.10245,-96.59987,335,26.1,14.1,141,10.5,28.1,15.37,214.3,12.17,31.83,17.93,413.3,15.07
"2022-10-18 14:00:00",123,"Site 2",39.10245,-96.59987,335,26.1,14.1,148,12.4,28.1,15.3,214,12.1,31.73,17.9,412.3,14.93
"2022-10-18 15:00:00",124,"Site 2",39.10245,-96.59987,335,26.13,14.1,153.7,14.17,28.1,15.33,214,12.13,31.83,17.97,411.3,14.83
"2022-10-18 16:00:00",125,"Site 2",39.10245,-96.59987,335,26.13,14.1,158,15.5,28.1,15.3,215,12.33,31.83,17.97,410.3,14.77
"2022-10-18 17:00:00",126,"Site 2",39.10245,-96.59987,335,26.13,14.1,160.7,16.2,28.1,15.3,216.3,12.6,31.8,17.9,410,14.67
"2022-10-18 18:00:00",127,"Site 2",39.10245,-96.59987,335,26.1,14.1,160.3,16.03,28.1,15.3,218.3,12.9,31.8,17.9,409.7,14.63
"2022-10-18 19:00:00",128,"Site 2",39.10245,-96.59987,335,25.87,13.93,158.7,15.17,28.1,15.3,219.7,13.2,31.83,17.97,409.3,14.6
"2022-10-18 20:00:00",129,"Site 2",39.10245,-96.59987,335,25.8,13.9,155,13.97,28.03,15.33,221.3,13.4,31.8,17.87,409.3,14.57
"2022-10-18 21:00:00",130,"Site 2",39.10245,-96.59987,335,25.8,13.9,150.7,12.7,28.03,15.3,222,13.57,31.83,17.93,409,14.6
"2022-10-18 22:00:00",131,"Site 2",39.10245,-96.59987,335,25.73,13.83,147,11.57,28.07,15.3,222,13.6,31.77,17.9,409.3,14.57
"2022-10-18 23:00:00",132,"Site 2",39.10245,-96.59987,335,25.7,13.8,143.3,10.6,28.07,15.3,222,13.57,31.8,17.87,409.3,14.6
