"TOA5","CR300Series_NRCS_B3","CR300","25039","CR300-CELL205.Std.10.07","CPU:nrcs_marena_B3.CR300","30482","Table_GroPoint"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","GroPoint_VWC_0_15_Avg","GroPoint_VWC_15_30_Avg","GroPoint_VWC_30_45_Avg","GroPoint_Temp_04_Avg","GroPoint_Temp_10_Avg","GroPoint_Temp_20_Avg","GroPoint_Temp_30_Avg","GroPoint_Temp_40_Avg","GroPoint_Temp_45_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","%","%","Deg c","Deg c","Deg c","Deg c","Deg c","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-12-16 16:00:00",130,"Marena B3",36.06222,-97.21667,329,19.1,14.8,16.17,5,5.5,7,8.17,7.5,9
"2022-12-16 17:00:00",131,"Marena B3",36.06222,-97.21667,329,19.1,14.87,16.2,5,5.5,7,8,7.5,9
"2022-12-16 18:00:00",132,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.2,5,5.5,7.5,8,7.5,9
"2022-12-16 19:00:00",133,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.2,4.667,5.5,7.5,8,7.5,9
"2022-12-16 20:00:00",134,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.27,4.5,5.5,7.5,8.17,7.5,9
"2022-12-16 21:00:00",135,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.3,4.167,5.5,7.5,8,7.5,9
"2022-12-16 22:00:00",136,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.3,4,5.167,7.333,8.17,7.5,9
"2022-12-16 23:00:00",137,"Marena B3",36.06222,-97.21667,329,19.1,14.9,16.3,4,5,7,8,7.5,9
"2022-12-17 00:00:00",138,"Marena B3",36.06222,-97.21667,329,19,14.97,16.33,3.667,5,7,8,7.5,9
"2022-12-17 01:00:00",139,"Marena B3",36.06222,-97.21667,329,19,15,16.4,3.5,5,7,8,7.5,9
"2022-12-17 02:00:00",140,"Marena B3",36.06222,-97.21667,329,19,15,16.4,3.5,5,7,8,7.5,9
"2022-12-17 03:00:00",141,"Marena B3",36.06222,-97.21667,329,19,15,16.4,3.333,4.5,7,8,7.5,9
"2022-12-17 04:00:00",142,"Marena B3",36.06222,-97.21667,329,19,15,16.4,3,4.5,7,8,7.333,9
"2022-12-17 05:00:00",143,"Marena B3",36.06222,-97.21667,329,19,15,16.4,3,4.5,6.833,8,7.5,9
"2022-12-17 06:00:00",144,"Marena B3",36.06222,-97.21667,329,18.93,15,16.5,3,4.5,6.5,8,7,9
"2022-12-17 07:00:00",145,"Marena B3",36.06222,-97.21667,329,18.9,15,16.5,2.833,4.167,6.5,8,7,8.83
"2022-12-17 08:00:00",146,"Marena B3",36.06222,-97.21667,329,18.9,15,16.5,2.5,4,6.5,8,7,8.5
"2022-12-17 09:00:00",147,"Marena B3",36.06222,-97.21667,329,18.9,15,16.5,2.5,4,6.5,8,7,8.67
"2022-12-17 10:00:00",148,"Marena B3",36.06222,-97.21667,329,18.9,15,16.53,2.5,4,6.5,8,7,8.5
"2022-12-17 11:00:00",149,"Marena B3",36.06222,-97.21667,329,18.9,15,16.6,2.5,4,6.5,7.667,7,8.5
"2022-12-17 12:00:00",150,"Marena B3",36.06222,-97.21667,329,18.9,15,16.6,3,4,6,7.5,7,8.5
"2022-12-17 13:00:00",151,"Marena B3",36.06222,-97.21667,329,18.97,15,16.6,3.667,4,6,7.5,7,8.5
"2022-12-17 14:00:00",152,"Marena B3",36.06222,-97.21667,329,19,15.03,16.6,4.333,4.167,6,7.5,7,8.5
"2022-12-17 15:00:00",153,"Marena B3",36.06222,-97.21667,329,19.1,15.1,16.6,4.5,4.5,6.167,7.5,7,8.5
"2022-12-17 16:00:00",154,"Marena B3",36.06222,-97.21667,329,19.1,15.1,16.6,4.5,4.667,6.5,7.5,7,8.5
"2022-12-17 17:00:00",155,"Marena B3",36.06222,-97.21667,329,19.1,15.1,16.6,4.833,5,6.5,7.5,7,8.5
"2022-12-17 18:00:00",156,"Marena B3",36.06222,-97.21667,329,19.1,15.1,16.6,4.5,5,6.5,7.5,7,8.5
"2022-12-17 19:00:00",157,"Marena B3",36.06222,-97.21667,329,19.1,15.2,16.7,4.167,5,6.5,7.5,7,8.5
"2022-12-17 20:00:00",158,"Marena B3",36.06222,-97.21667,329,19.1,15.2,16.7,4,5,6.5,7.5,6.833,8.5
"2022-12-17 21:00:00",159,"Marena B3",36.06222,-97.21667,329,19.1,15.2,16.7,3.5,4.667,6.5,7.5,6.833,8.5
"2022-12-17 22:00:00",160,"Marena B3",36.06222,-97.21667,329,19.1,15.2,16.7,3.5,4.5,6.5,7.5,6.667,8.5
"2022-12-17 23:00:00",161,"Marena B3",36.06222,-97.21667,329,19,15.2,16.7,3.167,4.5,6.5,7.5,6.667,8.5
"2022-12-18 00:00:00",162,"Marena B3",36.06222,-97.21667,329,19,15.2,16.77,3,4.5,6.5,7.5,6.5,8.5
"2022-12-18 01:00:00",163,"Marena B3",36.06222,-97.21667,329,19,15.2,16.8,3,4.167,6.5,7.5,6.5,8.5
"2022-12-18 02:00:00",164,"Marena B3",36.06222,-97.21667,329,19,15.2,16.8,3,4,6.5,7.5,6.5,8.5
"2022-12-18 03:00:00",165,"Marena B3",36.06222,-97.21667,329,18.97,15.2,16.8,2.667,4,6.333,7.5,6.5,8.5
"2022-12-18 04:00:00",166,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.8,2.5,4,6,7.5,6.5,8.33
"2022-12-18 05:00:00",167,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.8,2.5,3.833,6,7.5,6.5,8.17
"2022-12-18 06:00:00",168,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.9,2.5,3.5,6,7.5,6.5,8.33
"2022-12-18 07:00:00",169,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.9,2.5,3.5,6,7.5,6.5,8.17
"2022-12-18 08:00:00",170,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.9,2,3.5,6,7.5,6.5,8
"2022-12-18 09:00:00",171,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.9,2,3.5,6,7.167,6.5,8
"2022-12-18 10:00:00",172,"Marena B3",36.06222,-97.21667,329,18.9,15.2,16.9,1.833,3.5,5.667,7,6.5,8
"2022-12-18 11:00:00",173,"Marena B3",36.06222,-97.21667,329,18.9,15.2,17,2.167,3.5,5.5,7,6.5,8
"2022-12-18 12:00:00",174,"Marena B3",36.06222,-97.21667,329,18.9,15.2,17,2.667,3.5,5.5,7,6.5,8
"2022-12-18 13:00:00",175,"Marena B3",36.06222,-97.21667,329,18.97,15.2,17,3.333,3.5,5.5,7,6.5,8
"2022-12-18 14:00:00",176,"Marena B3",36.06222,-97.21667,329,19.03,15.3,17.03,4.333,3.833,5.5,7,6.5,8
"2022-12-18 15:00:00",177,"Marena B3",36.06222,-97.21667,329,19.1,15.3,17.1,4.667,4.333,5.5,7,6.5,8
"2022-12-18 16:00:00",178,"Marena B3",36.06222,-97.21667,329,19.17,15.3,17.1,5,4.5,6,7,6.5,8
"2022-12-18 17:00:00",179,"Marena B3",36.06222,-97.21667,329,19.2,15.4,17.1,5,5,6,7,6.5,8
"2022-12-18 18:00:00",180,"Marena B3",36.06222,-97.21667,329,19.2,15.4,17.2,5,5,6,7,6.5,8
"2022-12-18 19:00:00",181,"Marena B3",36.06222,-97.21667,329,19.2,15.4,17.2,5,5,6.333,7,6.5,7.833
"2022-12-18 20:00:00",182,"Marena B3",36.06222,-97.21667,329,19.2,15.47,17.2,4.5,5,6.5,7,6.5,8
"2022-12-18 21:00:00",183,"Marena B3",36.06222,-97.21667,329,19.2,15.5,17.23,4.5,5,6.5,7,6.5,8
"2022-12-18 22:00:00",184,"Marena B3",36.06222,-97.21667,329,19.2,15.5,17.3,4.5,5,6.5,7,6.5,8
"2022-12-18 23:00:00",185,"Marena B3",36.06222,-97.21667,329,19.2,15.5,17.3,4.5,5,6.5,7,6.5,8
"2022-12-19 00:00:00",186,"Marena B3",36.06222,-97.21667,329,19.2,15.53,17.3,4.5,5,6.5,7.167,6.5,8
"2022-12-19 01:00:00",187,"Marena B3",36.06222,-97.21667,329,19.2,15.6,17.37,4.5,5,6.5,7.167,6.5,8
"2022-12-19 02:00:00",188,"Marena B3",36.06222,-97.21667,329,19.2,15.6,17.4,4.5,5,6.5,7.5,6.5,8
"2022-12-19 03:00:00",189,"Marena B3",36.06222,-97.21667,329,19.27,15.6,17.4,4.5,5,6.5,7.5,6.5,8
