"TOA5","CR300Series_NRCS_B3","CR300","25039","CR300-CELL205.Std.10.07","CPU:nrcs_marena_B3.CR300","30482","Table_Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Batt_Min","PTemp"
"TS","RN","name","decdegrees","decdegrees","m","Volt","Deg C"
"","","Smp","Smp","Smp","Smp","Min","Smp"
"2022-12-22 07:00:00",265,"Marena B3",36.06222,-97.21667,329,12.74,-13.88
"2022-12-22 08:00:00",266,"Marena B3",36.06222,-97.21667,329,12.72,-14.87
"2022-12-22 09:00:00",267,"Marena B3",36.06222,-97.21667,329,12.73,-15.59
"2022-12-22 10:00:00",268,"Marena B3",36.06222,-97.21667,329,12.8,-14.5
"2022-12-22 11:00:00",269,"Marena B3",36.06222,-97.21667,329,12.85,-14.72
"2022-12-22 12:00:00",270,"Marena B3",36.06222,-97.21667,329,12.98,-13.98
"2022-12-22 13:00:00",271,"Marena B3",36.06222,-97.21667,329,14.54,-11.02
"2022-12-22 14:00:00",272,"Marena B3",36.06222,-97.21667,329,14.54,-11.21
"2022-12-22 15:00:00",273,"Marena B3",36.06222,-97.21667,329,14.54,-11.48
"2022-12-22 16:00:00",274,"Marena B3",36.06222,-97.21667,329,13.64,-13.24
"2022-12-22 17:00:00",275,"Marena B3",36.06222,-97.21667,329,13.22,-14.03
"2022-12-22 18:00:00",276,"Marena B3",36.06222,-97.21667,329,13,-16.59
"2022-12-22 19:00:00",277,"Marena B3",36.06222,-97.21667,329,12.96,-17.5
"2022-12-22 20:00:00",278,"Marena B3",36.06222,-97.21667,329,12.92,-17.63
"2022-12-22 21:00:00",279,"Marena B3",36.06222,-97.21667,329,12.88,-17.71
"2022-12-22 22:00:00",280,"Marena B3",36.06222,-97.21667,329,12.85,-17.67
"2022-12-22 23:00:00",281,"Marena B3",36.06222,-97.21667,329,12.83,-17.83
"2022-12-23 00:00:00",282,"Marena B3",36.06222,-97.21667,329,12.81,-17.77
"2022-12-23 01:00:00",283,"Marena B3",36.06222,-97.21667,329,12.79,-17.77
"2022-12-23 02:00:00",284,"Marena B3",36.06222,-97.21667,329,12.77,-17.92
"2022-12-23 03:00:00",285,"Marena B3",36.06222,-97.21667,329,12.74,-17.93
"2022-12-23 04:00:00",286,"Marena B3",36.06222,-97.21667,329,12.73,-17.93
"2022-12-23 05:00:00",287,"Marena B3",36.06222,-97.21667,329,12.71,-17.85
"2022-12-23 06:00:00",288,"Marena B3",36.06222,-97.21667,329,12.7,-17.14
"2022-12-23 07:00:00",289,"Marena B3",36.06222,-97.21667,329,12.7,-17
"2022-12-23 08:00:00",290,"Marena B3",36.06222,-97.21667,329,12.69,-16.62
"2022-12-23 09:00:00",291,"Marena B3",36.06222,-97.21667,329,12.84,-15.22
"2022-12-23 10:00:00",292,"Marena B3",36.06222,-97.21667,329,14.54,-10.38
"2022-12-23 11:00:00",293,"Marena B3",36.06222,-97.21667,329,14.46,-7.99
"2022-12-23 12:00:00",294,"Marena B3",36.06222,-97.21667,329,14.37,-5.29
"2022-12-23 13:00:00",295,"Marena B3",36.06222,-97.21667,329,14.34,-3.788
"2022-12-23 14:00:00",296,"Marena B3",36.06222,-97.21667,329,14.34,-3.838
"2022-12-23 15:00:00",297,"Marena B3",36.06222,-97.21667,329,14.34,-4.124
"2022-12-23 16:00:00",298,"Marena B3",36.06222,-97.21667,329,13.65,-5.532
"2022-12-23 17:00:00",299,"Marena B3",36.06222,-97.21667,329,13.32,-6.84
"2022-12-23 18:00:00",300,"Marena B3",36.06222,-97.21667,329,13.04,-11.11
"2022-12-23 19:00:00",301,"Marena B3",36.06222,-97.21667,329,12.99,-12.45
"2022-12-23 20:00:00",302,"Marena B3",36.06222,-97.21667,329,12.96,-12.91
