"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_SoilVue"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","SoilVue_VWC_5_Avg","SoilVue_Perm_5_Avg","SoilVue_Temp_5_Avg","SoilVue_EC_5_Avg","SoilVue_VWC_10_Avg","SoilVue_Perm_10_Avg","SoilVue_Temp_10_Avg","SoilVue_EC_10_Avg","SoilVue_VWC_20_Avg","SoilVue_Perm_20_Avg","SoilVue_Temp_20_Avg","SoilVue_EC_20_Avg","SoilVue_VWC_30_Avg","SoilVue_Perm_30_Avg","SoilVue_Temp_30_Avg","SoilVue_EC_30_Avg","SoilVue_VWC_40_Avg","SoilVue_Perm_40_Avg","SoilVue_Temp_40_Avg","SoilVue_EC_40_Avg","SoilVue_VWC_50_Avg","SoilVue_Perm_50_Avg","SoilVue_Temp_50_Avg","SoilVue_EC_50_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 11:24:00",29,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.199,22.02,0.005,0,1.236,22,0.006,0,1.333,22.08,0.008,0,1.45,23.06,0.009,0,1.164,22.7,0.01,0,1.361,22.2,0.009
"2022-06-01 11:26:00",30,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.315,22.02,0.005,0,1.198,22,0.005,0,1.385,22.08,0.01,0,1.415,23.06,0.004,0,1.28,22.7,0.008,0,1.399,22.2,0.01
"2022-06-01 11:28:00",31,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.174,22.02,0.005,0,1.218,22,0.005,0,1.336,22.11,0.01,0,1.434,23.09,0.004,0,1.171,22.7,0.011,0,1.331,22.23,0.011
"2022-06-01 11:30:00",32,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.209,22.02,0.003,0,1.18,22.02,0.007,0,1.359,22.11,0.011,0,1.458,23.09,0.005,0,1.161,22.73,0.01,0,1.283,22.23,0.008
"2022-06-01 11:32:00",33,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.222,22.02,0.003,0,1.186,22.02,0.005,0,1.346,22.11,0.011,0,1.494,23.12,0.006,0,1.172,22.73,0.007,0,1.39,22.23,0.008
"2022-06-01 11:34:00",34,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.21,22.02,0.003,0,1.205,22.02,0.004,0,1.361,22.14,0.012,0,1.456,23.12,0.006,0,1.212,22.73,0.009,0,1.34,22.23,0.009
"2022-06-01 11:36:00",35,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.199,22.05,0.004,0,1.268,22.02,0.007,0,1.299,22.14,0.012,0,1.442,23.15,0.005,0,1.195,22.76,0.01,0,1.285,22.26,0.009
"2022-06-01 11:38:00",36,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.205,22.05,0.002,0,1.246,22.02,0.005,0,1.355,22.14,0.01,0,1.401,23.15,0.006,0,1.193,22.76,0.007,0,1.343,22.26,0.011
"2022-06-01 11:40:00",37,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.187,22.05,0.005,0,1.217,22.05,0.005,0,1.326,22.14,0.011,0,1.448,23.15,0.003,0,1.199,22.79,0.009,0,1.393,22.26,0.009
"2022-06-01 11:42:00",38,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.261,22.05,0.003,0,1.174,22.05,0.005,0,1.325,22.17,0.011,0,1.415,23.18,0.004,0,1.174,22.79,0.009,0,1.307,22.26,0.012
"2022-06-01 11:44:00",39,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.174,22.05,0.004,0,1.268,22.05,0.006,0,1.356,22.17,0.009,0,1.404,23.18,0.005,0,1.218,22.79,0.008,0,1.368,22.29,0.01
"2022-06-01 11:46:00",40,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.172,22.05,0.004,0,1.204,22.05,0.006,0,1.31,22.17,0.01,0,1.443,23.18,0.006,0,1.187,22.79,0.009,0,1.344,22.29,0.01
"2022-06-01 11:48:00",41,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.231,22.05,0.002,0,1.252,22.05,0.005,0,1.315,22.2,0.011,0,1.433,23.21,0.005,0,1.19,22.82,0.01,0,1.351,22.29,0.01
"2022-06-01 11:50:00",42,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.224,22.05,0.001,0,1.181,22.05,0.006,0,1.354,22.2,0.01,0,1.427,23.21,0.004,0,1.17,22.82,0.01,0,1.321,22.29,0.011
"2022-06-01 11:52:00",43,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.194,22.05,0.004,0,1.25,22.05,0.007,0,1.321,22.2,0.012,0,1.418,23.21,0.006,0,1.126,22.82,0.008,0,1.316,22.29,0.007
