"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_CS229"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS229_StartTemp_5_Avg","CS229_Temp_1sec_5_Avg","CS229_Temp_30sec_5_Avg","CS229_Delta_Temp_5_Avg","CS229_Delta_Tempcorr_5_Avg","CS229_Matric_P_5_Avg"
"TS","RN","name","decdegrees","decdegrees","m","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-07-02 17:00:00",28,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 18:00:00",29,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 19:00:00",30,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 20:00:00",31,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 21:00:00",32,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 22:00:00",33,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 23:00:00",34,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 00:00:00",35,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 01:00:00",36,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 02:00:00",37,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 03:00:00",38,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 04:00:00",39,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 05:00:00",40,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 06:00:00",41,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 07:00:00",42,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 08:00:00",43,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 09:00:00",44,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 10:00:00",45,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 11:00:00",46,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 12:00:00",47,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 13:00:00",48,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 14:00:00",49,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 15:00:00",50,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 16:00:00",51,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 17:00:00",52,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 18:00:00",53,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 19:00:00",54,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 20:00:00",55,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 21:00:00",56,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 22:00:00",57,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-03 23:00:00",58,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 00:00:00",59,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 01:00:00",60,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 02:00:00",61,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 03:00:00",62,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
